Wavelength (nm),Reflectance
717.0,0.35378535773710473
718.0,0.3683444259567387
719.0,0.3831946755407653
720.0,0.39746256239600664
721.0,0.41289517470881854
722.0,0.42745424292845247
723.0,0.4425956738768718
724.0,0.4559900166389351
725.0,0.469675540765391
726.0,0.4833610648918469
727.0,0.49646422628951736
728.0,0.5092762063227952
729.0,0.5217970049916804
730.0,0.5337354409317803
731.0,0.5445091514143094
732.0,0.5558652246256239
733.0,0.5651830282861896
734.0,0.574792013311148
735.0,0.5844009983361065
736.0,0.5937188019966723
737.0,0.6004159733777037
738.0,0.6071131447587353
739.0,0.6143926788685523
740.0,0.6190515806988351
741.0,0.625457570715474
742.0,0.6315723793677204
743.0,0.6388519134775373
744.0,0.6426372712146421
745.0,0.6490432612312812
746.0,0.652828618968386
747.0,0.6560316139767054
748.0,0.6598169717138103
749.0,0.6615640599001663
750.0,0.6647670549084858
751.0,0.6679700499168052
752.0,0.670881863560732
753.0,0.6735024958402661
754.0,0.6749584026622295
755.0,0.679034941763727
756.0,0.679034941763727
757.0,0.6793261231281197
758.0,0.6813643926788684
759.0,0.6828202995008318
760.0,0.6854409317803659
761.0,0.6860232945091514
762.0,0.6866056572379368
763.0,0.6874792013311146
764.0,0.6883527454242928
765.0,0.6877703826955073
766.0,0.6889351081530781
767.0,0.6886439267886854
768.0,0.6903910149750415
769.0,0.6915557404326121
770.0,0.6935940099833608
771.0,0.6906821963394342
772.0,0.6892262895174708
773.0,0.6915557404326121
774.0,0.6930116472545755
775.0,0.6915557404326121
776.0,0.6898086522462561
777.0,0.6921381031613975
778.0,0.6921381031613975
779.0,0.6915557404326121
780.0,0.6938851913477537
781.0,0.6935940099833608
782.0,0.6938851913477537
783.0,0.6930116472545755
784.0,0.692720465890183
785.0,0.6938851913477537
786.0,0.6935940099833608
787.0,0.6959234608985023
788.0,0.6956322795341097
789.0,0.6962146422628951
790.0,0.6967970049916804
791.0,0.6985440931780366
792.0,0.6950499168053242
793.0,0.6938851913477537
794.0,0.6915557404326121
795.0,0.694467554076539
796.0,0.694467554076539
797.0,0.6924292845257903
798.0,0.6933028286189684
799.0,0.6959234608985023
800.0,0.6947587354409316
801.0,0.6941763727121464
802.0,0.6959234608985023
803.0,0.6950499168053244
804.0,0.697961730449251
805.0,0.6982529118136437
806.0,0.7008735440931779
807.0,0.6988352745424292
808.0,0.6982529118136437
809.0,0.694467554076539
810.0,0.6956322795341097
811.0,0.695341098169717
812.0,0.695341098169717
813.0,0.6956322795341097
814.0,0.6935940099833608
815.0,0.6967970049916804
816.0,0.6997088186356071
817.0,0.7005823627287853
818.0,0.701747088186356
819.0,0.7011647254575706
820.0,0.7005823627287853
821.0,0.6991264559068218
822.0,0.6988352745424292
823.0,0.6976705490848584
824.0,0.697961730449251
825.0,0.6976705490848584
826.0,0.7
827.0,0.7005823627287853
828.0,0.6956322795341098
829.0,0.6997088186356073
830.0,0.7032029950083194
831.0,0.6997088186356073
832.0,0.7005823627287853
833.0,0.6991264559068218
834.0,0.6988352745424292
835.0,0.6967970049916804
836.0,0.6938851913477537
837.0,0.6991264559068218
838.0,0.705241264559068
839.0,0.7014559068219632
840.0,0.7005823627287853
841.0,0.7
842.0,0.7
843.0,0.6985440931780366
844.0,0.7011647254575708
845.0,0.702620632279534
846.0,0.7002911813643926
847.0,0.7023294509151413
848.0,0.6997088186356073
849.0,0.6959234608985024
850.0,0.6976705490848584
851.0,0.7040765391014975
852.0,0.7040765391014975
853.0,0.7008735440931779
854.0,0.7002911813643926
855.0,0.7005823627287853
856.0,0.7023294509151413
